upper_name,correct
0,REMOVE
3,REMOVE
2018-2019,REMOVE
Ï»¿COMPANY,COMPANY
Ï»¿EMAIL,EMAIL
Ï»¿INDUSTRY,REMOVE
Ï»¿PHONE,PHONE
AD SIZE,REMOVE
ADDR1,REMOVE
ADDRESS2,REMOVE
ADVANCE OFFER AMT,REMOVE
ADVANCE OFFER RATE,REMOVE
ADVANCE OFFER TERM,REMOVE
AGENT NAME,REMOVE
ALT PHONE,REMOVE
ALTERNATE,REMOVE
ALTPHONE,REMOVE
AMOUNT FUNDED,REMOVE
AMOUNT NEEDED,REMOVE
AMOUNT NEEDED:,REMOVE
AMOUNT REQUESTED,REMOVE
ANNUAL BUSINESS REVENUE,REMOVE
AMOUNT,LOAN_AMOUNT
ANNUAL REV,REMOVE
ANNUAL REV.,REMOVE
ANNUAL REVENUE RANGE,REMOVE
ANY CURRENT OUTSTANDING?,REMOVE
AREA CODE,REMOVE
ASSIGNIND,REMOVE
BALANCE,REMOVE
BANKRUPTCY,REMOVE
BANKRUPTCY IN LAST 2 YEARS?,REMOVE
BEST TIME TO CALLBACK,REMOVE
BIRTH DATE,REMOVE
BIRTHDATE,REMOVE
BIZ ADDRESS,REMOVE
BIZ CITY,REMOVE
BIZ NAME,COMPANY
BIZ OWNER,FULL_NAME
BIZ REVENUE,REMOVE
BIZ STATE,STATE_PROVENCE
BIZ ZIP,REMOVE
BIZNUMBER,PHONE
BRAND CODES,REMOVE
BUS NAME,REMOVE
BUSINESS,COMPANY
BUSINESS ADDRESS,REMOVE
BUSINESS AGE,REMOVE
BUSINESS AT HOME,REMOVE
BUSINESS CITY,REMOVE
BUSINESS CONTACT,FULL_NAME
BUSINESS EMAIL,EMAIL
BUSINESS ID NUMBER,REMOVE
BUSINESS LOCATION,REMOVE
BUSINESS NAME,COMPANY
BUSINESS NAME:,COMPANY
BUSINESS PHONE,PHONE
BUSINESS START DATE,REMOVE
BUSINESS STATE,STATE_PROVENCE
BUSINESS TYPE,REMOVE
BUSINESS YEAR,REMOVE
BUSINESS ZIP,REMOVE
BUSINESSNAME,COMPANY
BUSINESSPHONE,PHONE
CAPITAL REQUIRED,REMOVE
CBSA CODE,REMOVE
CBSA NAME,REMOVE
CELL,PHONE
CELL NUMBER,PHONE
CELL PHONE,PHONE
CELL PHONE 1,PHONE
CELL PHONE 2,REMOVE
CELL PHONE:,PHONE
CELLNUMBER,PHONE
CELLPHONE,PHONE
CEOFIRST,FIRST_NAME
CEOLAST,LAST_NAME
CEOMID,REMOVE
CEOMRC,REMOVE
CEONAME,FULL_NAME
CEOPREFIX,REMOVE
CEOSUFFIX,REMOVE
CEOTITLE,REMOVE
CHAIN CODES,REMOVE
COLLATERCD,REMOVE
COLLATTYPE,REMOVE
COLLPOSQL,REMOVE
COLLPREQL,REMOVE
COMMENTS,REMOVE
COMPANY,COMPANY
COMPANY NAME,COMPANY
COMPANY_NAME,COMPANY
CONTACT,FULL_NAME
CONTACT NAME,FULL_NAME
CONTACT TITLE CODE,REMOVE
CONTACT/ OWNER,FULL_NAME
CONTACT_NAME,FULL_NAME
CONTACT_TITLE_CODE,REMOVE
COST OF CAP,REMOVE
COUNTY,REMOVE
COUNTYNM,REMOVE
CREDIT,REMOVE
CREDIT SCORE,REMOVE
CREDITSCORE,REMOVE
CRRT,REMOVE
CURRENT LOAN OUT,REMOVE
DATE,UCC_DATE
DATE OF APPLICATION,UCC_DATE
DATEBUSINESSSTARTED,REMOVE
DATEENT,REMOVE
DATEOFBIRTH,REMOVE
DBA,REMOVE
DEBTORADDR,REMOVE
DEBTORCITY,REMOVE
DEBTORDUN,REMOVE
DEBTORNM,REMOVE
DEBTORSEQ,REMOVE
DEBTORST,REMOVE
DEBTORZIP,REMOVE
DELIVERY POINT BARCODE,REMOVE
DELIVERY_POINT_BARCODE,REMOVE
DELPT,REMOVE
DEPOSIT,REMOVE
DMI,REMOVE
DNBCITY,REMOVE
DNBCOUNTY,REMOVE
DNBSMSA,REMOVE
DNBSTATE,REMOVE
DOMAIN,REMOVE
DUNSNUMB,REMOVE
EIN,REMOVE
EIN/FEDID,REMOVE
EMAIL,EMAIL
EMAIL ADDRESS,EMAIL
E-MAIL ADDRESS,EMAIL
EMAIL STATUS,REMOVE
EMAIL STATUS.1,REMOVE
EMAIL:,EMAIL
EMAIL_ADDRESS,EMAIL
EMAILS,EMAIL
EMPHERCD,REMOVE
EMPHERE,REMOVE
ANNUAL GROSS,ANNUAL_GROSS
EMPTOTAL,REMOVE
EMPTOTCD,REMOVE
ENTITYNUM,REMOVE
EVENT,REMOVE
EXISTING ADVANCE,REMOVE
EXPDATE,REMOVE
FACTOR,REMOVE
FAX,REMOVE
FAX NUMO,REMOVE
FAX_NUMO,REMOVE
FEDERALTAXID,REMOVE
FILE DATE,UCC_DATE
FILEDATE,FILEDATE
FILENUMB,REMOVE
FILING DAY,FILLING_DAY
FILING MONTH,FILLING_MONTH
FILING MONTHAND DATE,UCC_DATE
FILING YEAR,FILLING_YEAR
FILING_DAY,FILLING_DAY
FILING_MONTH,FILLING_MONTH
FILING_YEAR,FILLING_YEAR
FILINGTYP,REMOVE
FILLER,REMOVE
FILLER2,REMOVE
FILLER3,REMOVE
FILLER4,REMOVE
FIPS CODE,REMOVE
FIPSCNTY,REMOVE
FIPSST,REMOVE
